OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
2003,NC, ,0,P90-24,NC, , ,P82-12,1.89014381,,1990/06/18 05:00:00+00,,,CN,COMMERCIAL,CN, ,17 - CN,,,{A5AF65BE-88EF-4B60-8F19-8A31B72BEA2A},82334.4079589844,1532.67804035362
2004,R-8, ,0, ,R-8, , ,P89-06,10.32269292,,,,,RS-8,RES_MEDIUM_DENSITY,RS-8, , 9 - RS-8,,,{BA3FC686-4BF8-410F-9CEB-9ED28121DE37},449655.101806641,4097.86850705295
2005,RM-12, ,0, ,RM-12, , , ,0.15119087,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{75244F48-012E-4959-9B51-247B3E717072},6585.85363769531,374.453455246541
2006,R-10, ,0,P86-55,R-10(D), , , ,0.38640374,,1986/11/03 05:00:00+00,,,RS-10,RES_LOW_DENSITY,RS-10(D),(D), 8 - RS-10,,,{6474DC3E-30B3-4378-82EC-691FBFDE16CB},16831.6944580078,521.053788212263
2007,RD, ,0,Z1700007 ,RD,LDW,RR to PDR 6.458, Z1700007,25.00053525,,2017/11/20 05:00:00+00,2017/12/04 05:00:00+00,,PDR,RES_RURAL_DENSITY,PDR 6.458,D , 3 - PDR-MDR (4 - 8 du/ac),,,{5B58FD8D-DEE5-4D44-94CC-5FF51875968A},1089019.92224121,4898.39808429567
2008,PDR,Y,2.24,P93-65,PDR   2.240, , ,P91-67,95.89732924,1992/03/09 05:00:00+00,1993/07/19 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 2.240,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{C9B569DB-2141-4670-A8F4-BEEF6B04610C},4177274.6505127,8401.27713344697
2009,GC, ,0, ,GC,Alex,Mapped incorrectly per the 1973 ETA map, ,0.00039238,,,,2004/05/10 05:00:00+00,CG,COMMERCIAL,CG, ,19 - CG,,,{C8487F78-1E07-428D-84CA-7509D8D1EA7B},17.092041015625,344.828778920895
2010,SC, ,0, ,SC, , , ,29.96062602,,,,,CC,COMMERCIAL,CC, ,16 - CC,,,{9A72765B-C54A-4818-B368-F52A97208D35},1305080.80236816,5291.46958676451
2011,OI-1, ,0,P97-32,OI-1(D), , ,P83-05,1.998716,,1997/07/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{1D696B3A-DE87-4D9A-9E0A-643F4106014B},87063.7976074219,1455.22226348197
2012,OI-2, ,0,P96-27,OI-2(D), , , ,4.27890696,,1996/06/17 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{04701F31-E8FF-47AF-A269-371CE572C932},186388.606689453,1907.92832971245
2013,OI-2, ,0,,OI-2, , ,"P87-54;P94-45;P94-55",0.94318877,1995/04/24 05:00:00+00,,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{6A2A5DAC-89AB-49E5-AF5B-F430471EBA52},41085.1745605469,944.699767208456
2014,GC, ,0, ,GC, , , ,0.5859328,,,,,CG,COMMERCIAL,CG, ,19 - CG,,,{7B9E263F-B849-47BE-B240-F4063EEA77B7},25523.1533203125,806.218838690872
2015,R-20, ,2.84,Z05-39,R-20, , , ,19.28885265,,2006/04/03 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 2.840,(D), 2 - PDR-LDR (2 - 4 du/ac),2006/04/03 05:00:00+00,PDR-LDR,{4A642366-42A4-4507-A1B6-E98729C6B5C9},840219.802856445,4176.44751625556
2016,RR,Y,0.21999999,Z08000003,RR(D),Wadeg, ,P02-79,1.73461661,,2010/08/09 05:00:00+00,,,PDR,RES_RURAL_DENSITY,RR(D),(D), 6 - RR,,,{4530813D-9987-4304-97E5-FB5F879FE6E4},75559.6639404297,1624.78397903984
2017,NC, ,0, ,NC, , , ,6.52666491,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{67F12F70-E5AA-45D9-9CDE-14AE96F87379},284300.637573242,2448.79273873165
2018,I-2, ,0,P92-42,I-2(D), , , ,10.53552797,,1992/12/21 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{6E8362B6-1846-4EF2-A5AA-0A1F3F366E8E},458926.16796875,2925.50897847003
2019,RM-12, ,0, ,RM-12, , , ,0.20246816,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{EB26723F-5442-4C83-A23E-3B670FE746F9},8819.48559570312,452.704584128088
2020,OI-2, ,0,Z07-17,OI-2, , ,P87-54,7.19244967,,2007/06/18 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,2007/06/18 05:00:00+00,,{F598B415-460E-4EA1-87C1-9A6249EF7393},313302.131469727,2674.41492590482
2021,NC, ,0,P03-75,NC(D), , , ,2.73480031,,2004/04/19 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{D1DCFE96-E7C5-4236-A2BF-1C0A32333E40},119127.530395508,1672.4409450531
2022,OI-1, ,0,,OI-1, , , ,0.94006855,,1993/06/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{B584F295-4C90-4743-8D2E-F476249BAF01},40949.2583007812,814.754140731682
2023,RM-12, ,0, ,RM-12, , , ,0.36416044,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{AB763CE6-420F-4BC8-9280-D930CC287748},15862.779296875,511.073050196042
2024,RD, ,0,Z1200024A,RD,Wadeg, , ,28.39029156,,2014/06/30 05:00:00+00,2014/07/07 05:00:00+00,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{1E0BFEF3-63B8-4DAD-92B0-2C37B3D715B3},1236677.24707031,4509.29832377605
2025,PDR,Y,6.1999998, ,PDR 6.2, , ,ETA-93,59.51177485,,,,,PDR,RES_MEDIUM_DENSITY,PDR 6.2,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{D11A50FA-B50D-4142-BAD6-EB16A5B9198B},2592324.83435059,8980.02851891594
2026,PDR,Y,5.32999992,P98-67,PDR   5.330, , , ,10.22028122,,1999/02/15 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 5.330,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{E389D83A-54A4-4DBF-B06F-2C1E76B2FB47},445194.063110352,2691.8711487129
2027,PDR,Y,10.60000038,P86-28,PDR  10.600, , , ,20.50146622,,1986/06/02 05:00:00+00,,,PDR,RES_HIGH_DENSITY,PDR 10.600,(D), 4 - PDR-HDR (8 - 12 du/ac),,PDR-HDR,{2D6250BA-C67F-4613-8C54-80B55323628A},893041.0859375,4419.82955409366
2028,NC, ,0,P99-41,NC(D), , , ,2.0267941,,1999/09/20 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{81CAD179-5F6F-45F4-9AA6-1F91FD940CA3},88286.8762207031,1289.36323195636
2029,OI-2, ,0,,OI-2, , ,"P73-28;P78-12;P78-23;P91-31",10.51536663,,1991/08/19 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{36F006FE-2445-4393-979F-86C7046D2D71},458047.944091797,4023.28965185067
2030,PDR,Y,0,P96-22,PDR   0.000, , , ,10.78124955,,1996/05/20 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 0.000,(D), 1 - PDR-VLR (< 2 du/ac),,PDR-VLR,{3CC4BEFD-73FE-409A-ADB9-D0BB4BC20B2E},469629.766479492,3176.42827752612
